SampleName,CellType,ImmGenLab,Lineage,CellFamily,Organ,SortingMarkers,InputCellNumber,PF.reads,%chrM.mapped,Paired.read.after.removing.PCR.duplication,%fragment.1Kb_TSS,Replicate.cor
LTHSC.34-.BM#1,LTHSC.34-.BM,Wagers,Stem&Prog,Stem&Prog Cell,Bone Marrow,Lin-Sca1+ckit+CD135-CD150+CD48-CD34-,677,22287984,4.58,2470102,10.6,NA
LTHSC.34+.BM#1,LTHSC.34+.BM,Wagers,Stem&Prog,Stem&Prog Cell,Bone Marrow,Lin-Sca1+ckit+CD135-CD150+CD48-CD34+,2483,28588536,3.17,7675501,7.7,NA
STHSC.150-.BM#1,STHSC.150-.BM,Wagers,Stem&Prog,Stem&Prog Cell,Bone Marrow,Lin-Sca1+ckit+CD135-CD150-CD48-,3660,22170346,3.25,6060045,11.13,NA
MPP4.135+.BM#1,MPP4.135+.BM,Wagers,Stem&Prog,Stem&Prog Cell,Bone Marrow,Lin-Sca1+ckit+CD135+,10000,24003590,13.83,6128252,18.96,NA
proB.CLP.BM#1,proB.CLP.BM,Hardy,B,B Cell,Bone Marrow,"CD19-IgM-CD43+CD24-CD45R-CD93+CD117+IL7Ra+PI-Dump(Ly6c,Ter119,CD3,Gr1,CD11b)-",10000,23578208,7.67,6588564,13.21,0.868
proB.CLP.BM#2,proB.CLP.BM,Hardy,B,B Cell,Bone Marrow,"CD19-IgM-CD43+CD24-CD45R-CD93+CD117+IL7Ra+PI-Dump(Ly6c,Ter119,CD3,Gr1,CD11b)-",10000,20228620,10.4,6106189,18,0.868
proB.FrA.BM#1,proB.FrA.BM,Hardy,B,B Cell,Bone Marrow,"CD19-IgM-CD43+CD24-CD45R+CD93+CD117+IL7Ra+PI-Dump(Ly6c,Ter119,CD3,Gr1,CD11b)-",10000,24322892,10.77,7248092,14.73,0.916
proB.FrA.BM#2,proB.FrA.BM,Hardy,B,B Cell,Bone Marrow,"CD19-IgM-CD43+CD24-CD45R+CD93+CD117+IL7Ra+PI-Dump(Ly6c,Ter119,CD3,Gr1,CD11b)-",10000,21077958,11.18,6273311,16.15,0.916
proB.FrBC.BM#1,proB.FrBC.BM,Hardy,B,B Cell,Bone Marrow,"CD19+IgM-CD43+CD45R+CD93+PI-Dump(Ly6c,Ter119,CD3,Gr1,CD11b)-",10000,23930088,4.81,6310485,13.51,0.914
proB.FrBC.BM#2,proB.FrBC.BM,Hardy,B,B Cell,Bone Marrow,"CD19+IgM-CD43+CD45R+CD93+PI-Dump(Ly6c,Ter119,CD3,Gr1,CD11b)-",10000,24703814,3.72,7359568,9.33,0.914
preB.FrD.BM#1,preB.FrD.BM,Hardy,B,B Cell,Bone Marrow,"CD19+IgM-CD43+CD45R+CD43-PI-Dump(Ly6c,Ter119,CD3,Gr1,CD11b)-",10000,25212368,2.28,7322745,9.93,0.873
preB.FrD.BM#2,preB.FrD.BM,Hardy,B,B Cell,Bone Marrow,"CD19+IgM-CD43+CD45R+CD43-PI-Dump(Ly6c,Ter119,CD3,Gr1,CD11b)-",10000,21527412,3,4188572,16.44,0.873
B.FrE.BM#1,B.FrE.BM,Hardy,B,B Cell,Bone Marrow,"CD93+IgM+CD19+HSA+PI-Dump(CD11b,CD3,Ter119,Ly6c,Gr1,)-",10000,31509096,0.93,9417752,5.98,0.867
B.FrE.BM#2,B.FrE.BM,Hardy,B,B Cell,Bone Marrow,"CD93+IgM+CD19+HSA+PI-Dump(CD11b,CD3,Ter119,Ly6c,Gr1,)-",10000,19811686,3.29,6047339,19.08,0.867
B1b.PC#1,B1b.PC,Hardy,B,B Cell,Peritoneal Cavity,"CD19+CD45R+IgM++CD43+CD11b+CD5-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,25717124,19.43,4183560,8.46,0.764
B1b.PC#2,B1b.PC,Hardy,B,B Cell,Peritoneal Cavity,"CD19+CD45R+IgM++CD43+CD11b+CD5-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,22716200,8.33,6509006,11.52,0.764
B.T1.Sp#1,B.T1.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM++CD93+CD23-CD11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,24795326,1.72,6746284,11.93,0.954
B.T1.Sp#2,B.T1.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM++CD93+CD23-CD11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,20359204,2.45,6716274,16.92,0.954
B.T2.Sp#1,B.T2.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM++CD93+CD23+CD11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,23768914,0.81,8133067,6.93,0.918
B.T2.Sp#2,B.T2.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM++CD93+CD23+CD11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,24114094,1.6,8176852,10.62,0.918
B.T3.Sp#1,B.T3.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM+IgD+CD93+CD23+CD11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,33068072,1.82,9750139,11.22,0.939
B.T3.Sp#2,B.T3.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM+IgD+CD93+CD23+CD11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,24880258,1.28,8642521,7.86,0.939
B.MZ.Sp#1,B.MZ.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM++CD93-CD23-CD21/35++CD11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,23339666,3.61,6965238,7.15,0.888
B.MZ.Sp#2,B.MZ.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM++CD93-CD23-CD21/35++CD11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,26960320,2.62,9350161,7.15,0.888
B.Fo.Sp#1,B.Fo.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM+IgD+CD93-CD23+Cd11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,19602028,2.69,6240815,13.17,0.926
B.Fo.Sp#2,B.Fo.Sp,Hardy,B,B Cell,Spleen,"CD19+CD45R+IgM+IgD+CD93-CD23+Cd11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,22410350,1.96,7733110,10.39,0.926
B.Fo.Sp#3,B.Fo.Sp,Nutt,B,B Cell,Spleen,"CD19+CD45R+IgM+IgD+CD93-CD23+Cd11b-PI-Dump(CD3,Ter119,Ly6c,Gr1)-",10000,24855024,2.16,7406775,10.3,0.926
B.GC.CB.Sp#1,B.GC.CB.Sp,Nutt,B,GC centroblasts,Spleen,"B220+Fas+CD38-CXCR4hiCD86loPI-Dump(Gr1,TCRb,CD138)-",10000,20555710,3.38,6184204,20.87,0.951
B.GC.CB.Sp#2,B.GC.CB.Sp,Nutt,B,GC centroblasts,Spleen,"B220+Fas+CD38-CXCR4hiCD86loPI-Dump(Gr1,TCRb,CD138)-",10000,19291746,3.59,5411662,20.62,0.951
B.GC.CC.Sp#1,B.GC.CC.Sp,Nutt,B,GC centrocyes,Spleen,"B220+Fas+CD38-CXCR4loCD86hiPI-Dump(Gr1,TCRb,CD138)-",10000,28715806,1,9573040,8.64,0.921
B.GC.CC.Sp#2,B.GC.CC.Sp,Nutt,B,GC centrocyes,Spleen,"B220+Fas+CD38-CXCR4loCD86hiPI-Dump(Gr1,TCRb,CD138)-",10000,18854284,3.59,4773349,18.22,0.921
B.PB.Sp#1,B.PB.Sp,Nutt,B,Plasmablast,Spleen,"Blimp1loCD138hiMHCIIhiPI-Dump(TCRb,NK1.1,CD11b)-",10000,28174440,1.58,7588166,6.83,0.675
B.PB.Sp#2,B.PB.Sp,Nutt,B,Plasmablast,Spleen,"Blimp1loCD138hiMHCIIhiPI-Dump(TCRb,NK1.1,CD11b)-",10000,22782306,1.05,8160287,8.71,0.675
B.PC.Sp#1,B.PC.Sp,Nutt,B,Plasma Cell,Spleen,"Blimp1hiCD138hiMHCIIloPI-Dump(TCRb,NK1.1,CD11b)-",10000,22169572,4.71,6415504,20.01,0.823
B.PC.Sp#2,B.PC.Sp,Nutt,B,Plasma Cell,Spleen,"Blimp1hiCD138hiMHCIIloPI-Dump(TCRb,NK1.1,CD11b)-",10000,36987614,0.96,12754564,4.64,0.823
B.PC.BM#1,B.PC.BM,Nutt,B,Plasma Cell,Bone Marrow,"Blimp1hiCD138hiPI-Dump(TCRb,NK1.1,CD11b)-",10000,30460614,5.22,7437608,5.48,0.78
B.PC.BM#2,B.PC.BM,Nutt,B,Plasma Cell,Bone Marrow,"Blimp1hiCD138hiPI-Dump(TCRb,NK1.1,CD11b)-",10000,18960884,1.27,6472037,3.94,0.78
B.mem.Sp#1,B.mem.Sp,Nutt,B,Memory B Cell,Spleen,"B220+IgD-IgM-Fas-CD38+IgG+PI-Dump(Gr1,TCRb,CD138)-",10000,26606310,1.37,7980463,7.19,0.914
B.mem.Sp#2,B.mem.Sp,Nutt,B,Memory B Cell,Spleen,"B220+IgD-IgM-Fas-CD38+IgG+PI-Dump(Gr1,TCRb,CD138)-",10000,18349838,3.97,5193891,24.7,0.914
B.Sp#1,B.Sp,CBDM,B,CD19+ IgM+ B Cell,Spleen,CD19+IgM+TCRb-PI-,10000,26629482,2.57,6437908,8.39,0.932
B.Sp#2,B.Sp,CBDM,B,CD19+ IgM+ B Cell,Spleen,CD19+IgM+TCRb-PI-,10000,20327364,3.99,5557861,14.94,0.932
B.Fem.Sp#1,B.Fem.Sp,Shay ,B,Spleen CD19,Spleen,CD19+IgM+TCRb-PI-,10000,22111438,1.01,7650416,5.82,0.877
B.Fem.Sp#2,B.Fem.Sp,Shay ,B,Spleen CD19,Spleen,CD19+IgM+TCRb-PI-,10000,27581374,1.38,9405497,6.39,0.877
preT.DN1.Th#1,preT.DN1.Th,CBDM,abT,Thymic preT DN1,Thyums,"CD44hiCD117hiCD25-/loLin(CD4,CD8,CD11b,CD11c-,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-DAPI-",10000,19026598,14.7,5500898,19.11,0.944
preT.DN1.Th#2,preT.DN1.Th,CBDM,abT,Thymic preT DN1,Thyums,"CD44hiCD117hiCD25-/loLin(CD4,CD8,CD11b,CD11c-,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-DAPI-",10000,20192378,10.23,6273070,14.66,0.944
preT.DN2a.Th#1,preT.DN2a.Th,CBDM,abT,DN2a,Thyums,"CD44hiCD117hiCD25hiLin(CD4,CD8,CD11b,CD11c-,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-DAPI-",10000,19933426,9.66,5889209,11.34,0.913
preT.DN2a.Th#2,preT.DN2a.Th,CBDM,abT,DN2a,Thyums,"CD44hiCD117hiCD25hiLin(CD4,CD8,CD11b,CD11c-,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-DAPI-",10000,19734270,13.65,5435278,15.15,0.913
preT.DN2b.Th#1,preT.DN2b.Th,CBDM,abT,DN2b,Thyums,"CD44hiCD117intCD25hiLin(CD4,CD8,CD11b,CD11c-,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-DAPI-",10000,21434838,7.63,5298154,11.38,0.902
preT.DN2b.Th#2,preT.DN2b.Th,CBDM,abT,DN2b,Thyums,"CD44hiCD117intCD25hiLin(CD4,CD8,CD11b,CD11c-,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-DAPI-",10000,18688970,8.91,5702163,13.29,0.902
preT.DN3.Th#1,preT.DN3.Th,CBDM,abT,DN3,Thyums,"CD44-CD25hiLin(CD4,CD8,CD11b,CD11c-,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-DAPI-",10000,21256228,5.87,6384425,8.53,0.918
preT.DN3.Th#2,preT.DN3.Th,CBDM,abT,DN3,Thyums,"CD44-CD25hiLin(CD4,CD8,CD11b,CD11c-,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-DAPI-",10000,32413088,4.68,8835955,11.95,0.918
T.DN4.Th#1,T.DN4.Th,CBDM,abT,DN4,Thyums,"CD44-CD25-CD28+DAPI-Lin(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-",10000,22523848,7.03,7384188,9.13,0.901
T.DN4.Th#2,T.DN4.Th,CBDM,abT,DN4,Thyums,"CD44-CD25-CD28+DAPI-Lin(CD4,CD8,CD11b,CD11c,CD19,TCRb,TCRgd,NK1.1,Gr1,Ter119)-",10000,24642926,9.67,7367724,12.83,0.901
T.ISP.Th#1,T.ISP.Th,CBDM,abT,ISP,Thyums,CD4-CD8+TCR-/loCD24hiPI-Dump()-,10000,17715752,8.16,5723670,12.92,0.812
T.ISP.Th#2,T.ISP.Th,CBDM,abT,ISP,Thyums,CD4-CD8+TCR-/loCD24hiPI-Dump()-,10000,16359826,5.35,5656598,7.28,0.812
T.DP.Th#1,T.DP.Th,CBDM,abT,Thymic 4+8+CD3lo DP,Thyums,"SSCsmallCD4+CD8+TCRbloCD69-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,51416996,1.16,16029540,6.3,0.897
T.DP.Th#2,T.DP.Th,CBDM,abT,Thymic 4+8+CD3lo DP,Thyums,"SSCsmallCD4+CD8+TCRbloCD69-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,44077680,0.79,14378874,5.08,0.897
T.4.Th#1,T.4.Th,CBDM,abT,Thymic CD4SP,Thyums,"CD4+CD8-TCRbhiCD24intPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,22800714,6.8,5370049,15.28,0.914
T.4.Th#2,T.4.Th,CBDM,abT,Thymic CD4SP,Thyums,"CD4+CD8-TCRbhiCD24intPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,24729184,1.86,8195726,7.49,0.914
T.8.Th#1,T.8.Th,CBDM,abT,Thymic CD8SP,Thyums,"CD4-CD8+TCRbhiCD24int-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,27250032,11.3,6280931,19.38,0.947
T.8.Th#2,T.8.Th,CBDM,abT,Thymic CD8SP,Thyums,"CD4-CD8+TCRbhiCD24int-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,25649760,6.13,6553452,13.03,0.947
T.4.Nve.Sp#1,T.4.Nve.Sp,CBDM,abT,Spleen Na?ve CD4,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,33638230,2.53,9351523,8.39,0.919
T.4.Nve.Sp#2,T.4.Nve.Sp,CBDM,abT,Spleen Na?ve CD4,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,22309446,3.69,6969144,9.35,0.919
T.4.Nve.Fem.Sp#1,T.4.Nve.Fem.Sp,Shay,abT,Spleen/LN Na?ve CD4,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,20120426,5.72,5470544,19.04,0.962
T.4.Nve.Fem.Sp#2,T.4.Nve.Fem.Sp,Shay,abT,Spleen/LN Na?ve CD4,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,18764176,7.33,4926799,22.25,0.962
T.4.Sp.aCD3+CD40.18hr#1,T.4.Sp.aCD3+CD40.18hr,CBDM,T.act,Spleen CD4Act 48 hrs,Spleen,"CD4+CD8-TCRb-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,23901494,7.3,7468820,12.11,0.927
T.4.Sp.aCD3+CD40.18hr#2,T.4.Sp.aCD3+CD40.18hr,CBDM,T.act,Spleen CD4Act 48 hrs,Spleen,"CD4+CD8-TCRb-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,27206382,5.34,8178754,9.52,0.927
Treg.4.FP3+.Nrplo.Co#1,Treg.4.FP3+.Nrplo.Co,CBDM,abT,Colon Treg Nrplo,Colon,Foxp3+CD4+TCRb+Nrp1loDAPI-Dump(CD19)-,10000,24078482,10.15,4753608,29.33,0.921
Treg.4.FP3+.Nrplo.Co#2,Treg.4.FP3+.Nrplo.Co,CBDM,abT,Colon Treg Nrplo,Colon,Foxp3+CD4+TCRb+Nrp1loDAPI-Dump(CD19)-,10000,18778056,16.17,3191886,23.56,0.921
Treg.4.25hi.Sp#1,Treg.4.25hi.Sp,CBDM,abT,Spleen Treg,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25hiPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,24631596,3.9,7330315,8.76,0.902
Treg.4.25hi.Sp#2,Treg.4.25hi.Sp,CBDM,abT,Spleen Treg,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25hiPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,22101584,3.15,7247091,10.01,0.902
T.8.Nve.Sp#1,T.8.Nve.Sp,CBDM,abT,Spleen Na?ve CD8,Spleen,"CD4-CD8+TCRbhiCD62LhiCD44loPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,28404306,5.65,7783582,10.9,0.952
T.8.Nve.Sp#2,T.8.Nve.Sp,CBDM,abT,Spleen Na?ve CD8,Spleen,"CD4-CD8+TCRbhiCD62LhiCD44loPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,43106448,4.31,10957626,16.24,0.952
T8.TN.P14.Sp#1,T8.TN.P14.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44-PI-,10000,28168826,3.92,7974956,16.68,0.942
T8.TN.P14.Sp#2,T8.TN.P14.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44-PI-,10000,20476430,6.1,6181378,25.01,0.942
T8.IEL.LCMV.d7.SI#1,T8.IEL.LCMV.d7.SI,Goldrath,T.act,CD8 T Cell,SI,CD8+CD45.1+PI-,10000,18275342,3.87,6423134,16.17,0.846
T8.IEL.LCMV.d7.SI#2,T8.IEL.LCMV.d7.SI,Goldrath,T.act,CD8 T Cell,SI,CD8+CD45.1+PI-,10000,28939600,2.36,9058474,5.84,0.846
T8.TE.LCMV.d7.Sp#1,T8.TE.LCMV.d7.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD45.1+KLRG1+CD127-PI-,10000,35015468,3.06,9755645,9.34,0.945
T8.TE.LCMV.d7.Sp#2,T8.TE.LCMV.d7.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD45.1+KLRG1+CD127-PI-,10000,23938534,5.63,5343327,17.66,0.945
T8.MP.LCMV.d7.Sp#1,T8.MP.LCMV.d7.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+KLRG1-CD127+CD45.1+PI-,10000,31761828,4.18,6909052,11.31,0.926
T8.MP.LCMV.d7.Sp#2,T8.MP.LCMV.d7.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+KLRG1-CD127+CD45.1+PI-,10000,18797988,6.16,5335926,19.73,0.926
T8.Tcm.LCMV.d180.Sp#1,T8.Tcm.LCMV.d180.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44+CD62L+CD45.1+PI-,10000,17083314,8.3,4560517,22,0.968
T8.Tcm.LCMV.d180.Sp#2,T8.Tcm.LCMV.d180.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44+CD62L+CD45.1+PI-,10000,21205090,5.29,5901120,14.64,0.968
T8.Tem.LCMV.d180.Sp#1,T8.Tem.LCMV.d180.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44+CD62L-CD45.1+PI-,10000,21425202,3.57,7045774,11.45,0.907
T8.Tem.LCMV.d180.Sp#2,T8.Tem.LCMV.d180.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44+CD62L-CD45.1+PI-,10000,27181508,3.2,7842053,10.22,0.907
NKT.Sp#1,NKT.Sp,Brenner,abT,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,24999676,4.42,7052189,10.69,0.942
NKT.Sp#2,NKT.Sp,Brenner,abT,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,24219844,5.5,6662604,11.56,0.942
NKT.Sp.LPS.3hr#1,NKT.Sp.LPS.3hr,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,26879722,4.69,7501692,9.06,0.941
NKT.Sp.LPS.3hr#2,NKT.Sp.LPS.3hr,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,24566042,5.5,7029105,11.88,0.941
NKT.Sp.LPS.18hr#1,NKT.Sp.LPS.18hr,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,22537144,7.97,6184289,19.35,0.949
